card_name,rarity,price_usd,probability,expected_value
Monastery Messenger,common,0.01,0.104167,0.00104167
Dispelling Exhale,common,0.08,0.104167,0.00833336
Swamp,common,0.1,0.104167,0.010416700000000001
Breaching Dragonstorm,uncommon,0.16,0.03,0.0048
Kishla Skimmer,uncommon,0.1,0.03,0.003
Fleeting Effigy,uncommon,0.09,0.03,0.0026999999999999997
Kishla Village,rare,0.37,0.016667,0.00616679
Marshal of the Lost,uncommon,0.09,0.03,0.0026999999999999997
Ringing Strike Mastery,common,0.04,0.104167,0.00416668
Island,common,0.09,0.104167,0.00937503
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Iceridge Serpent,common,0.04,0.104167,0.00416668
Swiftwater Cliffs,common,0.03,0.104167,0.0031250099999999997
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Wind-Scarred Crag,common,0.04,0.104167,0.00416668
Jungle Hollow,common,0.04,0.104167,0.00416668
Dispelling Exhale,common,0.08,0.104167,0.00833336
Rainveil Rejuvenator,uncommon,0.13,0.03,0.0039
Lie in Wait,uncommon,0.08,0.03,0.0024
Hardened Tactician,uncommon,0.25,0.03,0.0075
Scavenger Regent // Exude Toxin,rare,0.66,0.016667,0.011000220000000002
Cori Mountain Stalwart,uncommon,0.07,0.03,0.0021000000000000003
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Osseous Exhale,common,0.04,0.104167,0.00416668
Sagu Pummeler,common,0.02,0.104167,0.00208334
Mountain,common,0.08,0.104167,0.00833336
Aggressive Negotiations,common,0.05,0.104167,0.0052083500000000005
Abzan Devotee,common,0.01,0.104167,0.00104167
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Rite of Renewal,uncommon,0.04,0.03,0.0012
Strategic Betrayal,uncommon,0.16,0.03,0.0048
Essence Anchor,uncommon,0.05,0.03,0.0015
Great Arashin City,rare,0.37,0.016667,0.00616679
Cruel Truths,common,0.02,0.104167,0.00208334
Seize Opportunity,common,0.04,0.104167,0.00416668
Humbling Elder,common,0.05,0.104167,0.0052083500000000005
Tempest Hawk,common,0.57,0.104167,0.059375189999999994
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Evolving Wilds,common,0.05,0.104167,0.0052083500000000005
Feral Deathgorger // Dusk Sight,common,0.05,0.104167,0.0052083500000000005
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Worthy Cost,common,0.05,0.104167,0.0052083500000000005
Embermouth Sentinel,common,0.03,0.104167,0.0031250099999999997
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Breaching Dragonstorm,uncommon,0.16,0.03,0.0048
Twinmaw Stormbrood // Charring Bite,uncommon,0.13,0.03,0.0039
Host of the Hereafter,uncommon,0.13,0.03,0.0039
Stadium Headliner,rare,0.51,0.016667,0.008500170000000001
Bewildering Blizzard,uncommon,0.05,0.03,0.0015
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Alesha's Legacy,common,0.04,0.104167,0.00416668
Delta Bloodflies,common,0.02,0.104167,0.00208334
Caustic Exhale,common,0.06,0.104167,0.006250019999999999
Plains,common,0.1,0.104167,0.010416700000000001
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Wild Ride,common,0.09,0.104167,0.00937503
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Arashin Sunshield,common,0.02,0.104167,0.00208334
Dismal Backwater,common,0.03,0.104167,0.0031250099999999997
Reverberating Summons,uncommon,0.04,0.03,0.0012
Effortless Master,uncommon,0.04,0.03,0.0012
Channeled Dragonfire,uncommon,0.07,0.03,0.0021000000000000003
Nature's Rhythm,rare,3.16,0.016667,0.05266772000000001
Swamp,common,0.1,0.104167,0.010416700000000001
Osseous Exhale,common,0.04,0.104167,0.00416668
Fortress Kin-Guard,common,0.04,0.104167,0.00416668
Alesha's Legacy,common,0.04,0.104167,0.00416668
Nightblade Brigade,common,0.06,0.104167,0.006250019999999999
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Krotiq Nestguard,common,0.03,0.104167,0.0031250099999999997
Focus the Mind,common,0.08,0.104167,0.00833336
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Underfoot Underdogs,common,0.04,0.104167,0.00416668
Trade Route Envoy,common,0.02,0.104167,0.00208334
Frontline Rush,uncommon,0.22,0.03,0.0066
Glacial Dragonhunt,uncommon,0.12,0.03,0.0036
Fleeting Effigy,uncommon,0.09,0.03,0.0026999999999999997
Lasyd Prowler,rare,0.17,0.016667,0.0028333900000000003
Monastery Messenger,common,0.01,0.104167,0.00104167
Seize Opportunity,common,0.04,0.104167,0.00416668
Trade Route Envoy,common,0.02,0.104167,0.00208334
Sarkhan's Resolve,common,0.03,0.104167,0.0031250099999999997
Swiftwater Cliffs,common,0.03,0.104167,0.0031250099999999997
Fortress Kin-Guard,common,0.04,0.104167,0.00416668
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Reputable Merchant,common,0.03,0.104167,0.0031250099999999997
Watcher of the Wayside,common,0.02,0.104167,0.00208334
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Adorned Crocodile,common,0.03,0.104167,0.0031250099999999997
Defibrillating Current,uncommon,0.04,0.03,0.0012
Wail of War,uncommon,0.06,0.03,0.0018
Desperate Measures,uncommon,0.11,0.03,0.0033
Mistrise Village,rare,8.52,0.016667,0.14200284
Unrooted Ancestor,uncommon,0.03,0.03,0.0009
Temur Tawnyback,common,0.06,0.104167,0.006250019999999999
Cruel Truths,common,0.02,0.104167,0.00208334
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Plains,common,0.1,0.104167,0.010416700000000001
Snowmelt Stag,common,0.04,0.104167,0.00416668
Poised Practitioner,common,0.03,0.104167,0.0031250099999999997
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Mardu Devotee,common,0.05,0.104167,0.0052083500000000005
Rugged Highlands,common,0.02,0.104167,0.00208334
Whirlwing Stormbrood // Dynamic Soar,uncommon,0.09,0.03,0.0026999999999999997
Fresh Start,uncommon,0.06,0.03,0.0018
Hundred-Battle Veteran,uncommon,0.04,0.03,0.0012
Roar of Endless Song,rare,0.13,0.016667,0.00216671
Dragonbroods' Relic,uncommon,0.06,0.03,0.0018
Thornwood Falls,common,0.04,0.104167,0.00416668
Adorned Crocodile,common,0.03,0.104167,0.0031250099999999997
Wild Ride,common,0.09,0.104167,0.00937503
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Island,common,0.09,0.104167,0.00937503
Dirgur Island Dragon // Skimming Strike,common,0.06,0.104167,0.006250019999999999
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Swamp,common,0.1,0.104167,0.010416700000000001
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Wayspeaker Bodyguard,uncommon,0.02,0.03,0.0006
Disruptive Stormbrood // Petty Revenge,uncommon,0.1,0.03,0.003
Hardened Tactician,uncommon,0.25,0.03,0.0075
Rediscover the Way,rare,0.17,0.016667,0.0028333900000000003
Zurgo's Vanguard,uncommon,0.06,0.03,0.0018
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Aggressive Negotiations,common,0.05,0.104167,0.0052083500000000005
Iceridge Serpent,common,0.04,0.104167,0.00416668
Poised Practitioner,common,0.03,0.104167,0.0031250099999999997
Adorned Crocodile,common,0.03,0.104167,0.0031250099999999997
Heritage Reclamation,common,0.12,0.104167,0.012500039999999999
Focus the Mind,common,0.08,0.104167,0.00833336
Arashin Sunshield,common,0.02,0.104167,0.00208334
Forest,common,0.12,0.104167,0.012500039999999999
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Kheru Goldkeeper,uncommon,0.18,0.03,0.005399999999999999
Twinmaw Stormbrood // Charring Bite,uncommon,0.13,0.03,0.0039
Dragonstorm Forecaster,uncommon,0.06,0.03,0.0018
Dalkovan Encampment,rare,0.43,0.016667,0.00716681
Sagu Pummeler,common,0.02,0.104167,0.00208334
Iceridge Serpent,common,0.04,0.104167,0.00416668
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Underfoot Underdogs,common,0.04,0.104167,0.00416668
Jungle Hollow,common,0.04,0.104167,0.00416668
Plains,common,0.1,0.104167,0.010416700000000001
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Aggressive Negotiations,common,0.05,0.104167,0.0052083500000000005
Agent of Kotis,common,0.03,0.104167,0.0031250099999999997
Shock Brigade,common,0.07,0.104167,0.00729169
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Jeskai Brushmaster,uncommon,0.07,0.03,0.0021000000000000003
Constrictor Sage,uncommon,0.06,0.03,0.0018
Sunpearl Kirin,uncommon,0.24,0.03,0.0072
Craterhoof Behemoth,mythic,14.55,0.00625,0.0909375
New Way Forward,rare,0.15,0.016667,0.00250005
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Scoured Barrens,common,0.04,0.104167,0.00416668
Focus the Mind,common,0.08,0.104167,0.00833336
Highspire Bell-Ringer,common,0.06,0.104167,0.006250019999999999
Piercing Exhale,common,0.03,0.104167,0.0031250099999999997
Adorned Crocodile,common,0.03,0.104167,0.0031250099999999997
Roamer's Routine,common,0.08,0.104167,0.00833336
Shock Brigade,common,0.07,0.104167,0.00729169
Nightblade Brigade,common,0.06,0.104167,0.006250019999999999
Forest,common,0.12,0.104167,0.012500039999999999
Twinmaw Stormbrood // Charring Bite,uncommon,0.13,0.03,0.0039
Abzan Monument,uncommon,0.06,0.03,0.0018
Dragonbroods' Relic,uncommon,0.06,0.03,0.0018
Stormscale Scion,mythic,6.19,0.00625,0.03868750000000001
Call the Spirit Dragons,mythic,4.92,0.00625,0.03075
Iceridge Serpent,common,0.04,0.104167,0.00416668
Roamer's Routine,common,0.08,0.104167,0.00833336
Poised Practitioner,common,0.03,0.104167,0.0031250099999999997
Sagu Pummeler,common,0.02,0.104167,0.00208334
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Mardu Devotee,common,0.05,0.104167,0.0052083500000000005
Meticulous Artisan,common,0.02,0.104167,0.00208334
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Aggressive Negotiations,common,0.05,0.104167,0.0052083500000000005
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Kishla Skimmer,uncommon,0.1,0.03,0.003
Glacial Dragonhunt,uncommon,0.12,0.03,0.0036
Sultai Monument,uncommon,0.08,0.03,0.0024
Voice of Victory,rare,10.75,0.016667,0.17917025
Osseous Exhale,common,0.04,0.104167,0.00416668
Osseous Exhale,common,0.04,0.104167,0.00416668
Wingspan Stride,common,0.03,0.104167,0.0031250099999999997
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Molten Exhale,common,0.05,0.104167,0.0052083500000000005
Temur Tawnyback,common,0.06,0.104167,0.006250019999999999
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Evolving Wilds,common,0.05,0.104167,0.0052083500000000005
Dismal Backwater,common,0.03,0.104167,0.0031250099999999997
Monastery Messenger,common,0.01,0.104167,0.00104167
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Unrooted Ancestor,uncommon,0.03,0.03,0.0009
Dalkovan Packbeasts,uncommon,0.15,0.03,0.0045
Purging Stormbrood // Absorb Essence,uncommon,0.05,0.03,0.0015
Scavenger Regent // Exude Toxin,rare,0.66,0.016667,0.011000220000000002
"Teval, Arbiter of Virtue",mythic,1.86,0.00625,0.011625000000000002
Fortress Kin-Guard,common,0.04,0.104167,0.00416668
Reputable Merchant,common,0.03,0.104167,0.0031250099999999997
Jeskai Devotee,common,0.03,0.104167,0.0031250099999999997
Devoted Duelist,common,0.06,0.104167,0.006250019999999999
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Evolving Wilds,common,0.05,0.104167,0.0052083500000000005
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Forest,common,0.12,0.104167,0.012500039999999999
Ringing Strike Mastery,common,0.04,0.104167,0.00416668
Corroding Dragonstorm,uncommon,0.08,0.03,0.0024
Stormbeacon Blade,uncommon,0.08,0.03,0.0024
Frontier Bivouac,uncommon,0.12,0.03,0.0036
Barrensteppe Siege,rare,0.41,0.016667,0.00683347
Abzan Devotee,common,0.01,0.104167,0.00104167
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Delta Bloodflies,common,0.02,0.104167,0.00208334
Dispelling Exhale,common,0.08,0.104167,0.00833336
Undergrowth Leopard,common,0.05,0.104167,0.0052083500000000005
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Temur Tawnyback,common,0.06,0.104167,0.006250019999999999
Temur Devotee,common,0.03,0.104167,0.0031250099999999997
Nightblade Brigade,common,0.06,0.104167,0.006250019999999999
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Fleeting Effigy,uncommon,0.09,0.03,0.0026999999999999997
Attuned Hunter,uncommon,0.05,0.03,0.0015
Dragonstorm Forecaster,uncommon,0.06,0.03,0.0018
Hollowmurk Siege,rare,0.37,0.016667,0.00616679
Scoured Barrens,common,0.04,0.104167,0.00416668
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Temur Devotee,common,0.03,0.104167,0.0031250099999999997
Sarkhan's Resolve,common,0.03,0.104167,0.0031250099999999997
Dragonstorm Globe,common,0.12,0.104167,0.012500039999999999
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Riling Dawnbreaker // Signaling Roar,common,0.05,0.104167,0.0052083500000000005
Twin Bolt,common,0.02,0.104167,0.00208334
Fortress Kin-Guard,common,0.04,0.104167,0.00416668
Dragonback Lancer,common,0.04,0.104167,0.00416668
Trade Route Envoy,common,0.02,0.104167,0.00208334
Spectral Denial,uncommon,0.09,0.03,0.0026999999999999997
Jeskai Brushmaster,uncommon,0.07,0.03,0.0021000000000000003
Sunset Strikemaster,uncommon,0.15,0.03,0.0045
Tersa Lightshatter,rare,1.0,0.016667,0.016667
Gurmag Nightwatch,common,0.04,0.104167,0.00416668
Underfoot Underdogs,common,0.04,0.104167,0.00416668
Seize Opportunity,common,0.04,0.104167,0.00416668
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Sarkhan's Resolve,common,0.03,0.104167,0.0031250099999999997
Agent of Kotis,common,0.03,0.104167,0.0031250099999999997
Swiftwater Cliffs,common,0.03,0.104167,0.0031250099999999997
Osseous Exhale,common,0.04,0.104167,0.00416668
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Dirgur Island Dragon // Skimming Strike,common,0.06,0.104167,0.006250019999999999
Jeskai Devotee,common,0.03,0.104167,0.0031250099999999997
Dragonbroods' Relic,uncommon,0.06,0.03,0.0018
Sunset Strikemaster,uncommon,0.15,0.03,0.0045
Aegis Sculptor,uncommon,0.05,0.03,0.0015
Revival of the Ancestors,rare,0.14,0.016667,0.0023333800000000003
Strategic Betrayal,uncommon,0.16,0.03,0.0048
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Dusyut Earthcarver,common,0.01,0.104167,0.00104167
Embermouth Sentinel,common,0.03,0.104167,0.0031250099999999997
Worthy Cost,common,0.05,0.104167,0.0052083500000000005
Humbling Elder,common,0.05,0.104167,0.0052083500000000005
Watcher of the Wayside,common,0.02,0.104167,0.00208334
Shock Brigade,common,0.07,0.104167,0.00729169
Mountain,common,0.08,0.104167,0.00833336
Dismal Backwater,common,0.03,0.104167,0.0031250099999999997
Unburied Earthcarver,common,0.04,0.104167,0.00416668
Spectral Denial,uncommon,0.09,0.03,0.0026999999999999997
Furious Forebear,uncommon,0.03,0.03,0.0009
Rainveil Rejuvenator,uncommon,0.13,0.03,0.0039
Call the Spirit Dragons,mythic,4.92,0.00625,0.03075
Descendant of Storms,uncommon,0.07,0.03,0.0021000000000000003
Wingspan Stride,common,0.03,0.104167,0.0031250099999999997
Tranquil Cove,common,0.04,0.104167,0.00416668
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Rugged Highlands,common,0.02,0.104167,0.00208334
Roamer's Routine,common,0.08,0.104167,0.00833336
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Temur Devotee,common,0.03,0.104167,0.0031250099999999997
Riverwalk Technique,common,0.05,0.104167,0.0052083500000000005
Meticulous Artisan,common,0.02,0.104167,0.00208334
Attuned Hunter,uncommon,0.05,0.03,0.0015
Stalwart Successor,uncommon,0.08,0.03,0.0024
Bewildering Blizzard,uncommon,0.05,0.03,0.0015
Clarion Conqueror,rare,1.37,0.016667,0.022833790000000003
Swiftwater Cliffs,common,0.03,0.104167,0.0031250099999999997
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Tranquil Cove,common,0.04,0.104167,0.00416668
Dirgur Island Dragon // Skimming Strike,common,0.06,0.104167,0.006250019999999999
Aggressive Negotiations,common,0.05,0.104167,0.0052083500000000005
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Undergrowth Leopard,common,0.05,0.104167,0.0052083500000000005
Reigning Victor,common,0.06,0.104167,0.006250019999999999
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Rebellious Strike,common,0.04,0.104167,0.00416668
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Armament Dragon,uncommon,0.05,0.03,0.0015
Riverwheel Sweep,uncommon,0.07,0.03,0.0021000000000000003
Loxodon Battle Priest,uncommon,0.07,0.03,0.0021000000000000003
Severance Priest,rare,0.21,0.016667,0.00350007
Inspirited Vanguard,uncommon,0.03,0.03,0.0009
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Feral Deathgorger // Dusk Sight,common,0.05,0.104167,0.0052083500000000005
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Caustic Exhale,common,0.06,0.104167,0.006250019999999999
Jade-Cast Sentinel,common,0.04,0.104167,0.00416668
Monastery Messenger,common,0.01,0.104167,0.00104167
Plains,common,0.1,0.104167,0.010416700000000001
Twin Bolt,common,0.02,0.104167,0.00208334
Tempest Hawk,common,0.57,0.104167,0.059375189999999994
Alchemist's Assistant,uncommon,0.08,0.03,0.0024
Sunset Strikemaster,uncommon,0.15,0.03,0.0045
Bewildering Blizzard,uncommon,0.05,0.03,0.0015
Rot-Curse Rakshasa,mythic,4.02,0.00625,0.025124999999999998
Eshki Dragonclaw,rare,0.19,0.016667,0.0031667300000000004
Fire-Rim Form,common,0.02,0.104167,0.00208334
Delta Bloodflies,common,0.02,0.104167,0.00208334
Sagu Pummeler,common,0.02,0.104167,0.00208334
Dispelling Exhale,common,0.08,0.104167,0.00833336
Agent of Kotis,common,0.03,0.104167,0.0031250099999999997
Temur Tawnyback,common,0.06,0.104167,0.006250019999999999
Jade-Cast Sentinel,common,0.04,0.104167,0.00416668
Unending Whisper,common,0.05,0.104167,0.0052083500000000005
Rebellious Strike,common,0.04,0.104167,0.00416668
Dragon's Prey,common,0.02,0.104167,0.00208334
Desperate Measures,uncommon,0.11,0.03,0.0033
Teeming Dragonstorm,uncommon,0.09,0.03,0.0026999999999999997
Krumar Initiate,uncommon,0.05,0.03,0.0015
Ambling Stormshell,rare,0.15,0.016667,0.00250005
Unrooted Ancestor,uncommon,0.03,0.03,0.0009
Temur Devotee,common,0.03,0.104167,0.0031250099999999997
Rebellious Strike,common,0.04,0.104167,0.00416668
Arashin Sunshield,common,0.02,0.104167,0.00208334
Adorned Crocodile,common,0.03,0.104167,0.0031250099999999997
Iceridge Serpent,common,0.04,0.104167,0.00416668
Reigning Victor,common,0.06,0.104167,0.006250019999999999
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Forest,common,0.12,0.104167,0.012500039999999999
Tempest Hawk,common,0.57,0.104167,0.059375189999999994
Abzan Monument,uncommon,0.06,0.03,0.0018
Sunpearl Kirin,uncommon,0.24,0.03,0.0072
Rally the Monastery,uncommon,0.12,0.03,0.0036
Frostcliff Siege,rare,1.0,0.016667,0.016667
Sagu Wildling // Roost Seek,common,0.04,0.104167,0.00416668
Feral Deathgorger // Dusk Sight,common,0.05,0.104167,0.0052083500000000005
Bloodfell Caves,common,0.03,0.104167,0.0031250099999999997
Watcher of the Wayside,common,0.02,0.104167,0.00208334
Humbling Elder,common,0.05,0.104167,0.0052083500000000005
Roamer's Routine,common,0.08,0.104167,0.00833336
Rebellious Strike,common,0.04,0.104167,0.00416668
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Mardu Devotee,common,0.05,0.104167,0.0052083500000000005
Swamp,common,0.1,0.104167,0.010416700000000001
Osseous Exhale,common,0.04,0.104167,0.00416668
Sunset Strikemaster,uncommon,0.15,0.03,0.0045
Kishla Skimmer,uncommon,0.1,0.03,0.003
Starry-Eyed Skyrider,uncommon,0.08,0.03,0.0024
Songcrafter Mage,rare,0.33,0.016667,0.005500110000000001
Marang River Regent // Coil and Catch,rare,1.03,0.016667,0.017167010000000003
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Meticulous Artisan,common,0.02,0.104167,0.00208334
Swamp,common,0.1,0.104167,0.010416700000000001
Riling Dawnbreaker // Signaling Roar,common,0.05,0.104167,0.0052083500000000005
Evolving Wilds,common,0.05,0.104167,0.0052083500000000005
Monastery Messenger,common,0.01,0.104167,0.00104167
Sagu Wildling // Roost Seek,common,0.04,0.104167,0.00416668
Lightfoot Technique,common,0.03,0.104167,0.0031250099999999997
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Underfoot Underdogs,common,0.04,0.104167,0.00416668
Sage of the Fang,uncommon,0.05,0.03,0.0015
Wingblade Disciple,uncommon,0.07,0.03,0.0021000000000000003
Frontier Bivouac,uncommon,0.12,0.03,0.0036
Rot-Curse Rakshasa,mythic,4.02,0.00625,0.025124999999999998
Mystic Monastery,uncommon,0.12,0.03,0.0036
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Underfoot Underdogs,common,0.04,0.104167,0.00416668
Snowmelt Stag,common,0.04,0.104167,0.00416668
Molten Exhale,common,0.05,0.104167,0.0052083500000000005
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Champion of Dusan,common,0.03,0.104167,0.0031250099999999997
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Iceridge Serpent,common,0.04,0.104167,0.00416668
Sagu Pummeler,common,0.02,0.104167,0.00208334
Gurmag Rakshasa,uncommon,0.02,0.03,0.0006
Rally the Monastery,uncommon,0.12,0.03,0.0036
Spectral Denial,uncommon,0.09,0.03,0.0026999999999999997
Dracogenesis,mythic,16.26,0.00625,0.10162500000000002
Bloodfell Caves,common,0.03,0.104167,0.0031250099999999997
Sandskitter Outrider,common,0.05,0.104167,0.0052083500000000005
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Ringing Strike Mastery,common,0.04,0.104167,0.00416668
Dusyut Earthcarver,common,0.01,0.104167,0.00104167
Narset's Rebuke,common,0.05,0.104167,0.0052083500000000005
Riverwalk Technique,common,0.05,0.104167,0.0052083500000000005
Focus the Mind,common,0.08,0.104167,0.00833336
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Forest,common,0.12,0.104167,0.012500039999999999
Iceridge Serpent,common,0.04,0.104167,0.00416668
Unsparing Boltcaster,uncommon,0.06,0.03,0.0018
Formation Breaker,uncommon,0.04,0.03,0.0012
Desperate Measures,uncommon,0.11,0.03,0.0033
Mistrise Village,rare,8.52,0.016667,0.14200284
Mystic Monastery,uncommon,0.12,0.03,0.0036
Twin Bolt,common,0.02,0.104167,0.00208334
Forest,common,0.12,0.104167,0.012500039999999999
Dispelling Exhale,common,0.08,0.104167,0.00833336
Piercing Exhale,common,0.03,0.104167,0.0031250099999999997
Seize Opportunity,common,0.04,0.104167,0.00416668
Jeskai Devotee,common,0.03,0.104167,0.0031250099999999997
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Ainok Wayfarer,common,0.09,0.104167,0.00937503
Meticulous Artisan,common,0.02,0.104167,0.00208334
Wind-Scarred Crag,common,0.04,0.104167,0.00416668
Mardu Monument,uncommon,0.07,0.03,0.0021000000000000003
Constrictor Sage,uncommon,0.06,0.03,0.0018
Spectral Denial,uncommon,0.09,0.03,0.0026999999999999997
United Battlefront,rare,0.53,0.016667,0.008833510000000001
Skirmish Rhino,uncommon,0.15,0.03,0.0045
Temur Tawnyback,common,0.06,0.104167,0.006250019999999999
Scoured Barrens,common,0.04,0.104167,0.00416668
Wild Ride,common,0.09,0.104167,0.00937503
Trade Route Envoy,common,0.02,0.104167,0.00208334
Sultai Devotee,common,0.05,0.104167,0.0052083500000000005
Tranquil Cove,common,0.04,0.104167,0.00416668
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Fire-Rim Form,common,0.02,0.104167,0.00208334
Devoted Duelist,common,0.06,0.104167,0.006250019999999999
Reigning Victor,common,0.06,0.104167,0.006250019999999999
Kheru Goldkeeper,uncommon,0.18,0.03,0.005399999999999999
Dalkovan Packbeasts,uncommon,0.15,0.03,0.0045
