Name,Set,Collector Number,Rarity,Foil,Nonfoil,USD Price,Frame Effects,Estimated Pull Probability
"Tyvar, the Pummeler",dsk,202,mythic,True,True,3.31,legendary,0.0125
Unable to Scream,dsk,78,common,True,True,0.11,,0.104167
Undead Sprinter,dsk,237,rare,True,True,0.12,,0.032787
Under the Skin,dsk,203,uncommon,True,True,0.08,,0.03
Underwater Tunnel // Slimy Aquarium,dsk,79,common,True,True,0.02,,0.104167
Unholy Annex // Ritual Chamber,dsk,118,rare,True,True,1.85,,0.032787
Unidentified Hovership,dsk,37,rare,True,True,0.31,,0.032787
Unnerving Grasp,dsk,80,uncommon,True,True,0.04,,0.03
Unsettling Twins,dsk,38,common,True,True,0.02,,0.104167
Unstoppable Slasher,dsk,119,rare,True,True,2.73,,0.032787
Untimely Malfunction,dsk,161,uncommon,True,True,2.78,,0.03
Unwanted Remake,dsk,39,uncommon,True,True,0.19,,0.03
Unwilling Vessel,dsk,81,uncommon,True,True,0.05,,0.03
Valgavoth's Faithful,dsk,121,uncommon,True,True,0.05,,0.03
Valgavoth's Lair,dsk,271,rare,True,True,1.06,,0.032787
Valgavoth's Onslaught,dsk,204,rare,True,True,0.26,,0.032787
"Valgavoth, Terror Eater",dsk,120,mythic,True,True,17.69,legendary,0.0125
Vanish from Sight,dsk,82,common,True,True,0.02,,0.104167
Vengeful Possession,dsk,162,uncommon,True,True,0.06,,0.03
Veteran Survivor,dsk,40,uncommon,True,True,0.12,,0.03
Vicious Clown,dsk,163,common,True,True,0.02,,0.104167
"Victor, Valgavoth's Seneschal",dsk,238,rare,True,True,0.19,legendary,0.032787
Vile Mutilator,dsk,122,uncommon,True,True,0.07,,0.03
Violent Urge,dsk,164,uncommon,True,True,0.08,,0.03
Walk-In Closet // Forgotten Cellar,dsk,205,mythic,True,True,5.53,,0.0125
Waltz of Rage,dsk,165,rare,True,True,0.20,,0.032787
Wary Watchdog,dsk,206,common,True,True,0.03,,0.104167
Wickerfolk Thresher,dsk,207,uncommon,True,True,0.05,,0.03
Wildfire Wickerfolk,dsk,239,uncommon,True,True,0.09,,0.03
"Winter, Misanthropic Guide",dsk,240,rare,True,True,0.09,legendary,0.032787
Winter's Intervention,dsk,123,common,True,True,0.03,,0.104167
Withering Torment,dsk,124,uncommon,True,True,2.67,,0.03
"Zimone, All-Questioning",dsk,241,rare,True,True,0.10,legendary,0.032787
